ETH_DOLLAR,ETH_BTC,Price_Diff,Volume,Num_of_Trades,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,transactionvalue,marketcap,tweets,google_trends,fee_to_reward,fear_gear_index,Open,High,Low,Close,SMA_7,SMA_30,SMA_100,EMA_200,EMA_8,EMA_50,RSI,macd,macd_signal,macd_hist,ENGULFING,BB_upper,BB_middle,DD_lower
185.18,0.029435000000000006,24.039999999999992,476745.79216,163958,557317.0,22317.0,158315.0,3197340149390744.0,255585894661850.0,0.0154,474948537.0,0.175,0.0557,0.24,852.205,19361703350.0,13455.0,6.539,2.339,18,197.22,200.2,176.16,185.18,206.9,206.9,206.9,,215.01199214667324,,19.937560214248332,-38.41999529982863,-34.475974155719015,-3.9440211441096125,-100,312.7575375783602,231.8100000000001,150.86246242163998
183.12,0.028918,17.900000000000006,504047.79165,150831,570673.0,24133.0,161244.0,3133091795265986.0,252567872314844.0,0.0146,666244006.0,0.16,0.0564,0.238,1167.0,17945527341.0,12563.0,8.266,2.335,14,185.14,185.22,167.32,183.12,200.41285714285712,200.41285714285712,200.41285714285712,,207.92488278074586,319.401,19.64664405581129,-39.224916353371185,-35.42576259524945,-3.799153758121733,0,293.9188791348647,220.58100000000007,147.2431208651354
210.68,0.032504000000000005,31.849999999999994,739503.34051,222128,555724.0,24044.0,171545.0,3049946197635000.0,246303571733460.0,0.0168,462333837.0,0.19,0.0686,0.24,831.949,20107840019.0,13371.0,6.475,2.354,20,183.17,215.0,183.15,210.68,197.69571428571427,197.69571428571427,197.69571428571427,,208.53713105169123,315.13743137254903,33.60483042466422,-37.21002639414243,-35.78261535502805,-1.4274110391143822,0,270.13632462100685,212.7400000000001,155.34367537899334
208.82,0.0322,21.599999999999994,833945.82573,249947,514394.0,26309.0,155370.0,3142743480649868.0,253579145858140.0,0.0175,455325157.0,0.163,0.0591,0.237,885.168,21726690187.0,12846.0,5.444,1.803,23,210.91,224.2,202.6,208.82,196.78142857142853,196.78142857142853,196.78142857142853,,208.59999081798207,310.9681203383314,33.18584752239591,-35.35573908826072,-35.69724010167458,0.3415010134138612,0,236.08450851415506,205.0920000000001,174.09949148584514
221.29,0.034056,19.78,441046.52933,125321,479695.0,25808.0,126179.0,3146684914059900.0,254425591793690.0,0.0179,314870679.0,0.17600000000000002,0.0612,0.238,656.398,22291414935.0,10321.0,4.498,1.751,24,208.55,227.42,207.64,221.29,200.29285714285712,200.29285714285712,200.29285714285712,,211.4199928584305,307.45133130545565,38.70366456731567,-32.5052776481738,-35.058847610974425,2.5535699628006228,100,233.41370577555222,204.3680000000001,175.322294224448
220.17,0.033862,15.400000000000004,425538.57709,130886,458432.0,27185.0,124426.0,3129494677715775.0,253288140325948.0,0.018000000000000002,265671177.0,0.17600000000000002,0.0548,0.236,579.521,22242068431.0,10279.0,4.052,1.683,28,221.62,223.5,208.1,220.17,203.77285714285713,203.77285714285713,203.77285714285713,,213.36443888989038,304.02853399935935,38.396951814495516,-29.99092435296984,-34.04526295937351,4.054338606403668,0,229.55342726714701,203.4150000000001,177.2765727328532
196.16,0.031383999999999995,32.599999999999994,825020.77445,224178,553720.0,25919.0,160897.0,3140086572915643.0,254251199957420.0,0.0175,414280848.0,0.17,0.061,0.237,748.178,21710178440.0,11921.0,4.48,1.982,25,220.24,225.0,192.4,196.16,203.63142857142856,203.63142857142856,203.63142857142856,,209.5412302476925,299.79839541114916,32.45857193600562,-29.594540154699246,-33.15511839843866,3.560578243739414,0,226.68829379470267,201.5090000000001,176.32970620529753
208.17,0.032894,22.0,584366.1501399999,167048,500513.0,26176.0,140097.0,3178891797124400.0,253593354357260.0,0.0166,369873130.0,0.221,0.0645,0.241,738.988,20745184172.0,13557.0,4.846,2.05,21,196.25,215.47,193.47,208.17,206.91571428571427,206.91571428571427,206.91571428571427,,209.23651241487195,296.2051250028688,37.65282978413651,-27.98866033947644,-32.12182678664622,4.133166447169778,0,227.8993851182777,202.65500000000011,177.41061488172252
209.79,0.032816000000000005,17.25999999999999,496100.46639,128769,507255.0,20024.0,134325.0,3170660093786085.0,257703610399320.0,0.0173,324627730.0,0.28800000000000003,0.0905,0.235,639.97,21376087985.0,12245.0,4.667,3.068,24,208.42,214.84,197.58,209.79,210.72571428571428,210.72571428571428,210.72571428571428,,209.3595096560115,292.81629657138376,38.34164367936751,-26.282302531658274,-30.95392193564863,4.671619403990356,0,229.1743662844981,204.0530000000001,178.93163371550213
224.0,0.034522000000000004,21.120000000000005,573632.24236,172813,498146.0,24244.0,145261.0,3176542287149020.0,256659439718810.0,0.0172,398558155.0,0.209,0.0789,0.239,800.0830000000002,21499565346.0,11252.0,4.374,2.264,24,209.79,226.68,205.56,224.0,212.6285714285714,212.6285714285714,212.6285714285714,,212.61295195467562,290.11761827446674,44.168425723703336,-23.512337838562445,-29.465605116231394,5.9532672776689495,0,233.9838933419316,206.7380000000001,179.49210665806862
